,Price,TestedBatteryLifeHoursMinutes,OperatingSystem,Weight,DimensionsHwd,WirelessNetworking,ScreenRefreshRate,VariableRefreshSupport,PanelTechnology,TouchScreen,NativeDisplayResolution,ScreenSize,BootDriveCapacityAsTested,BootDriveType,RamAsTested,ProcessorSpeed,Processor,LaptopClass,EditorsRating,Name
0,"$1,579.00",12:18,Windows 11 Pro,2.48 lbs,0.6 by 12.4 by 8.8 inches,"Wi-Fi 6E, Bluetooth",60 Hz,None,IPS,,1920 by 1200,14 inches,512 GB,SSD,16 GB,,Intel Core i7-1260P,"Business, Ultraportable",5.0,Lenovo ThinkPad X1 Carbon Gen 10 (2022)
1,$699.95,11:10,Google Chrome OS,3.2 lbs,0.67 by 11.8 by 9.3 inches,802.11ax (Wi-Fi 6),60 Hz,None,IPS,,"2,256 by 1,504",13.5 inches,256 GB,SSD,8 GB,2.4 GHz,Intel Core i5-1135G7,"Chromebook, Convertible 2-in-1",4.5,Acer Chromebook Spin 713 (2022)
2,"$1,198.76",12:55,Apple macOS,2.7 lbs,0.44 by 11.97 by 8.46 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,IPS,,2560 by 1664,13.6 inches,1 TB,SSD,16 GB,,Apple M2,Ultraportable,4.5,Apple MacBook Air (2022; M2)
3,"$1,849.00",11:31,Windows 11,5.34 lbs,0.77 by 14.74 by 9.76 inches,"Wi-Fi 6E, Bluetooth",60 Hz,None,IPS,,3840 by 2400,17 inches,1 TB,SSD,32 GB,2.3 GHz,Intel Core i7-12700H,Desktop Replacement,4.0,Dell XPS 17 (9720)
4,"$1,399.99",9:09,Windows 11,7.3 lbs,1.05 by 15.64 by 11.76 inches,"Wi-Fi 6E, Bluetooth",120 Hz,FreeSync,IPS,,3840 by 2160,17.3 inches,1 TB,SSD,32 GB,3.3 GHz,AMD Ryzen 9 6900HX,Gaming,4.0,Alienware m17 R5
5,"$1,199.00",21:55,Apple macOS,3 lbs,0.61 by 12 by 8.4 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,,IPS,,2560 by 1600,13.3 inches,1 TB,SSD,16 GB,,Apple M2,Ultraportable,4.0,Apple MacBook Pro 13-Inch (2022; M2)
6,"$2,499.00",26:51,Apple macOS Ventura,4.8 lbs,0.66 by 14 by 9.8 inches,"Wi-Fi 6E, Bluetooth 5.3",120 Hz,ProMotion,Mini LED,,3456 by 2234,16.2 inches,4 TB,SSD,96 GB,,Apple M2 Max,"Business, Workstation",5.0,Apple MacBook Pro 16-Inch (2023; M2 Max)
7,"$1,149.00",13:59,Windows 11 Home,3.2 lbs,0.68 by 12.47 by 8.67 inches,"Wi-Fi 6E, Bluetooth 5.2",60 Hz,None,IPS,,2240 by 1400,14 inches,512 GB,SSD,16 GB,,Intel Core i7-1255U,"Convertible 2-in-1, Ultraportable",4.0,Lenovo Yoga 7i 14 Gen 7 (2022)
8,$529.99,8:25,Windows 11,2.53 lbs,0.35 by 11.22 by 7.36 inches,Wi-Fi 6E,60 Hz,None,LTPS,,2560 by 1600,12.35 inches,128 GB,SSD,8 GB,,Intel Core i3-1215U,Detachable 2-in-1,4.0,Lenovo IdeaPad Windows Duet 5i
9,"$1,475.10",7:44,Windows 11 Pro,6.4 lbs,1.2 by 14.3 by 10.5 inches,"Wi-Fi 6E, Bluetooth",60 Hz,None,IPS,,3840 by 2400,16 inches,2 TB,SSD,64 GB,,Intel Core i9-12950HX,"Workstation, Business, Desktop Replacement",4.5,Lenovo ThinkPad P16 Gen 1
10,$999.00,9:26,Windows 10 Home,2.8 lbs,0.62 by 11.7 by 9 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,IPS,,2256 by 1504,13.5 inches,512 GB,SSD,16 GB,2.8 GHz,Intel Core i7-1165G7,Ultraportable,4.0,Framework Laptop
